reference,candidate,score,ter_score,label
"economists said that eurozone economic indicators to be released this week will provide further evidence of weak economic confidence and slowing economic output , while british data is expected to show a pick-up in industrial activities .","economists said that the economic indicators to be announced by eurozone this week would provide further evidence of weak economic confidence and slowing economic output , while british data is expected to show a growth in industrial activities .",0.8718,0.15384615384615385,0
"they said economic output data from the largest eurozone countries will continue to be volatile from one month to the next , but the longer-term trend of output will point to slowing economic growth .","they said that economic output data from the largest eurozone countries will continue to show great volatility every month , but the long-term trend will demonstrate a slow down in economic growth .",0.6275,0.45454545454545453,0
"the most important economic indicators of the week will be in germany , where the zew institute's economic expectations index , which is due on the 7th and is closely watched by the market , will offer europe its first evidence of economic confidence in december .","this week will be the most important economic indicator in germany , the market closely ZEW economic research institute , the economy is expected to be issued in december , will provide the first economic confidence .",0.5569,0.7837837837837838,1
the zew index fell sharply to 13.9 in november from 31.3 the previous month .,the zew index plummeted to 13.9 in november from 31.3 in the previous month .,0.8667,0.2,0
"economists said the significant appreciation of the euro will have continued to weigh on economic confidence in the latest survey , so there is no reason to expect any rebound in the economic expectations index .","economists said that the sharp appreciation of the euro will be sustained in a recent survey on economic confidence , there is no reason to predict the economy rebounded indicators would be expected .",0.5824,0.5882352941176471,1
""" given that the main factors driving down economic confidence , including the euro's appreciation , uncertainty over global growth and the weak labor market and worsening unemployment in germany , have remained a drag on future growth expectations over the december survey period , a strong rebound is unlikely , "" bnp's economists said .","BNP economist said : "" in economic confidence in the main factors , including the appreciation of the euro , global economic uncertainty and german job market , the unemployment rate during the december survey expected growth in the future , the index rebounded strongly was unlikely . """,0.5131,0.9183673469387755,1
"according to a survey among economists conducted by afx news , the afp financial news subsidiary , the index will drop again to 11.0 in december from 13.9 in the previous month .","according to a survey conducted by afx news , the afp financial news subsidiary , economists believed that this index would drop again to 11 in december from 13.9 in the prior month .",0.8235,0.23529411764705882,0
"however , teather of ubs investment bank said germany's zew economic expectations index could drop as far as zero in december .","nevertheless , teather of ubs investment bank said that the zew economic expectations index of germany might even fall to zero in december .",0.6250,0.375,0
""" expectations of future german economic activity , as reflected in the zew survey of analysts and financial market participants , will continue to fall in our view , "" said teather .","teather said , "" according to our view , expectations of future german economic activity , as reflected in the zew survey of analysts and financial market participants , will continue to fall . """,0.9143,0.2857142857142857,0
ukraine crisis causing tensions between east and west to dominate osce meeting,ukrainian crisis creates east-west tensions ; expected to be on osce meeting agenda,0.3846,0.7692307692307693,0
"russia has been accusing the west of interfering in the affairs of eastern europe , which has gradually become a focus due to the political crisis in ukraine and is expected to top the agenda of the annual ministerial meeting of the organization for security and cooperation in europe ( osce ) , which will open tomorrow .","russia has repeatedly accused the western and eastern european affairs in the interests of the political crisis since ukraine became the focus of concern , and in the future european security and cooperation in the annual ministerial meeting of the organization will become the main question .",0.5388,0.8297872340425532,1
"russia is irritated by the creeping influence of the west into corners of europe it previously considered its backyard , like the baltic states , georgia and central asia . as a result , the recent incident in ukraine is likely to dominate the discussions of the two-day osce meeting in the bulgarian capital of sofia .","the creeping western influence into corners of europe previously considered by russia as its backyard , such as the baltic states , georgia , and central asia , has long disgruntled russia . thus , recent incidents in ukraine will probably dominate the two-day osce meeting to be held in sofia , the capital city of bulgaria .",0.6897,0.5862068965517241,0
"ukraine's supreme court has made a dramatic ruling to order a re-voting of the recent second-round presidential election . and before this , the european union had called on member states of the osce to ask their observers to get ready for "" the quickest and efficient actions "" .","the supreme court of ukraine has made the dramatic decision to order a rerun of the recent runoff of the presidential election . prior to that , the european union has already appealed to the osce member states to prepare their observers to "" take action as quickly and efficiently as possible . """,0.5926,0.5370370370370371,0
"according to european sources , the number of osce observers will increase to 1000 from the original 600 in ukraine's re-election scheduled for december 26th .",europeans revealed that the number of observers dispatched by osce to the election rerun in ukraine scheduled to be held on december 26 would increase from the original 600 to 1000 .,0.5312,0.71875,0
"us secretary of state powell will attend osce's annual meeting , which is perhaps his last foreign tour before leaving office .","u.s. secretary of state powell will attend this osce annual meeting , which may be his last foreign visit before leaving office .",0.6538,0.2608695652173913,0
"russian foreign minister lavrov , french foreign minister barnier , british foreign minister straw and german foreign minister fischer will also be attending the meeting .","russian foreign minister lavrov , french foreign minister barnier , british foreign secretary straw , and german foreign minister fischer will also attend the meeting .",0.8846,0.15384615384615385,0
"the osce groups the 55 states of north america , europe and asia . it will celebrate the 30th anniversary of its founding next year .","osce members , including north america , europe and asia , the five countries will celebrate its 30th anniversary next year .",0.6064,0.6363636363636364,1
"the organization was established at the helsinki conference , which helped end the cold war .",the organization was established at the helsinki conference that very year and contributed to the ending of the cold war .,0.5714,0.42857142857142855,0
bush's major test : intelligence reform bill to face congressional vote this week,bush test intelligence reform bill this week will face,0.4987,1.0,1
"the intelligence reform bill the us congress will take efforts to pass this week is part of an ambitious second-term agenda pushed by republican president bush , whose support level among republican congressmen will be his first major test after re-election .",the u.s. congress will push hard to pass the intelligence overhaul bill this week . the bill is an ambitious second-term agenda for republican president bush . his support among the republican congressmen will face its first major test after his reelection .,0.6304,0.5116279069767442,0
"in a newspaper interview yesterday , kean , the republican who led the investigation into the september 11 , 2001 attacks on new york and washington , said the issue with the intelligence reform bill was that it has to be passed by the congress and that the matter itself augurs ill for bipartisan cooperation and the president's domestic agenda .","investigation on 11 september 2001 in new york and washington suffered from terrorist attacks in new jersey of the republican party , the newspaper yesterday said that intelligence reform bills , because it is subject to congressional approval , this case alone for future cooperation between the two parties and the domestic policy issues in a bad sign .",0.5407,0.864406779661017,1
""" congress becomes dysfunctional if the president and congress can't get these big issues taken care of , and then we ' re all in trouble , "" kean said .",""" if the president and congress could not handle these problems , the parliament will become functional , and we will have trouble . """,0.4405,0.84,1
""" it ' ll be a long time before there's another bill with the support of the republican and democratic leadership in both houses and the support of 80% of the american people in the polls , "" he told the new york daily news .","he told the new york daily news : "" we have to wait long before another bill , senate republican and democratic leaders , and 80 percent of the public support . """,0.4560,0.8787878787878788,1
"several lawmakers said yesterday that failure of the groundbreaking reform bill could delay overhaul of america's antiquated spy network by months , years or kill it altogether .","several congressmen stated yesterday that if this groundbreaking reform bill failed , it would delay the overhaul of the u.s. antiquated intelligence network for months , years , or even kill its existence entirely .",0.5000,0.5142857142857142,0
"the top democrat on the house of representatives ' intelligence committee , harman , yesterday told cnn television that "" if the bill isn't passed this week , it dies "" .","the house intelligence committee , members of the democratic party said yesterday in the cable news network said : "" if this bill be passed this week , it will be still-born . """,0.5588,0.6176470588235294,1
congress will try again on the 6th and 7th to pass the intelligence reform and terrorism prevention act of 2004 before adjourning until early next year .,the congress will try to pass the intelligence reform and terrorism prevention act of 2004 again on the 6th and the 7th . it will then adjourn until next year .,0.7742,0.3548387096774194,0
"if lawmakers fail , the entire bill will be discarded and need to be rewritten in the congress ' 2005 session .","if it is vetoed , the bill will be annulled and the congress will rewrite a new bill in the 2005 session .",0.5652,0.5217391304347826,0
ukraine's opposition strongly opposes large constitutional amendment to dilute presidential powers,ukrainian opposition party firmly rejects _TOO_LONG_TOKEN_ bill that drastically curbs presidential power,0.1111,0.8333333333333334,0
ukraine's pro-west opposition firmly insisted today that they would not accept the constitutional reform pushed by outgoing ukrainian president kuchma before the second round presidential re-election .,ukraine west opposition today insisted that the opposition would not accept the outgoing president of the title in the second round of presidential run-off election before the constitutional reform .,0.6000,0.6333333333333333,1
the constitutional reform will dilute most of the president's powers .,this constitutional reform will strip most of the power currently held by the president .,0.5333,0.5333333333333333,0
"with the november 21st vote declared invalid by the supreme court because of massive vote fraud in the second-round presidential elections and a new date of re-election set by the central election commission for december 26 , opposition leader yushchenko is locked in a fresh standoff with kuchma .","after the supreme court annulled the results of the rigged runoff election held on november 21 , the central election commission ordered a rerun on december 26 . opposition leader yushchenko is again at loggerheads with kuchma .",0.4334,0.8947368421052632,0
""" if the constitutional amendment is passed in its current form , all the powers of the president would be transferred to the parliament . this would be unacceptable , "" said timoshenko , an ally of yushchenko .","tymoshenko , yushchenko's ally , stated , "" if the constitutional amendment is passed in its current form , all the powers of the president would be transferred to the parliament . this would be unacceptable . """,0.8715,0.2631578947368421,0
""" we want the president to be able to name the head of the intelligence agency and the prosecutor general so we can fight corruption and get rid of the clans that dominate ukraine's political and business life , "" she told reporters .","she told reporters , "" we hope that the president could appoint the chief of the intelligence bureau and the prosecutor-general so we can fight corruption and eliminate groups that control ukrainian politics and business circles . """,0.5618,0.631578947368421,0
"kuchma , who keeps close ties to russia , had pushed for constitutional changes before the re-election amid fears that the opposition could win the presidential election .","russia maintain close links with the lease ma , who fear the opposition would win the presidential elections , and in the run-off elections to the constitutional amendments .",0.4828,0.7931034482758621,1
opposition lawmakers yesterday refused to vote for government-proposed constitutional changes and the parliament adjourned for 10 days .,"opposition mps yesterday refused to vote on the amendment proposed by the government , parliament will adjourn for 10 days .",0.5238,0.47619047619047616,1
"according to the constitutional amendment , the power to appoint all top posts excepting the prime minister , defense and foreign ministers would be transferred from the president to the parliament , where pro-government forces currently have close to a majority .","according to the constitutional amendment bill , the authority to appoint all top officials except the prime minister , the defense minister , and the foreign minister will be transferred from the hand of the president to the parliament , in which pro-government forces currently have a close majority .",0.7000,0.36,0
"according to the amendment , the president's nominees for the prime minister , defense and foreign ministers would need to be approved by lawmakers , who could also put forward their own candidates .","according to this amendment , the president appointed by the prime minister of defense and foreign minister , who require congressional approval , which could also submit their candidates .",0.5834,0.5666666666666667,1
ukraine's political crisis enters third week with opposition calling for continuous protest,his political opponents to enter the third week to protest,0.3275,0.9,1
the chaos caused by ukraine's presidential election has entered its third week . opposition leader yushchenko today called on his supporters to continue the street protests and block the presidential palace and government buildings unless outgoing president kuchma dismisses prime minister yanukovych and his cabinet members and takes actions to ensure the fairness of the upcoming presidential reelection .,"the chaos sparked off by the presidential election in ukraine has entered its third week . opposition leader yushchenko called on his supporters to continue their street protests and their blockade of the presidential palace and government buildings , until outgoing president kushma fires prime minister yanukovych and his cabinet , and to take actions to ensure justice in the upcoming rerun of the presidential runoff election .",0.7059,0.35294117647058826,0
"tens of thousands of yushchenko's supporters have gathered in the capital of kiev for two weeks , blocking the government buildings and encamping themselves on major avenues designed by soviet experts to hold military parades . the people power they have demonstrated has forced the supreme court to annul the second round of presidential election of december 21st and the central election commission to order a reelection for december 26th . the parliament has approved the dismissal of yanukovych , but kuchma , yanukovych's mentor , has not signed the administrative decree to fire his successor .","thousands of supporters in the capital gathered here two weeks , they surrounded the building , designed by russian experts to review the main thoroughfare , they are so strong that the people of the supreme court on november 21 , the second round of presidential elections , which would be held on december 26 , congress passed the yanuca dismissal , but the finance leases have not signed executive order has replaced the nurturing of successors .",0.4522,0.9230769230769231,1
"yushchenko told supporters gathered at the capital's independence square this evening that kuchma should dismiss his government , and reshuffle the central election commission . in addition , both the parliament and kuchma should agree to amend the election law to prevent election fraud .","especially today told the independent square here in the capital of the masses , the title should be removed from his government , restructuring , and the parliament and the finance leases shall be agreed to amend the electoral law to prevent electoral fraud .",0.4889,0.7333333333333333,1
""" before these decisions are made , the issue of blockade on government buildings and the presidential palace will not be discussed , "" he said , starting his campaign for the december 26 election .","in his speech that unveiled the runoff on december 26 , he stated , "" before these decisions are implemented , we should not discuss lifting the blockade of government buildings and the presidential palace .",0.6944,0.6388888888888888,0
""" over the past 14 days , the square has shown the love for ukraine and the civil consciousness of millions of ukrainian people who can defend their own choice . ""","during these 2 weeks , this square has demonstrated its ardent love for ukraine , and the civil awareness of tens of millions of ukrainians who can defend their choices . """,0.5625,0.5625,0
""" we are undergoing a fight between good and evil . the world is applauding our victory and is proud of ukraine , "" he said .","he said : "" we are experiencing a good and evil forces , the world is for our victory over the world , for his pride . """,0.6071,0.5714285714285714,1
"as the opposition is putting more pressure on the ruling authority backed by moscow and yushchenko and kuchma are once again locked in a standoff of constitutional reform , polish president kwasniewski , lithuanian president adamkus and russian envoy gryszlov are scheduled to arrive in kiev on the 6th for another round of mediation .","while the opposition party exerts more pressure on the governing authorities backed by moscow , and yushchenko and kushma are at a deadlock once again on constitutional reform , polish president kwasniewski , lithuanian president adamkus , and russian envoy gryzlov are scheduled to arrive in kiev on the 6th for another effort at mediation .",0.7500,0.2857142857142857,0
egypt announces breakthrough in stalled middle east peace process,egypt announces breakthrough in middle east peace predicament,0.7722,0.25,0
egypt says a new framework is expected to come into being for the middle east peace agreement .,egypt said that the middle east peace agreement is expected to have a new framework .,0.7170,0.5,1
it also says it is likely to return its ambassador to israel in the near future to restore the full diplomatic ties severed four years ago .,"it also said that it might dispatch an ambassador to israel again in the near future to resume full diplomatic relations , which have been severed for four years .",0.5667,0.5666666666666667,0
"quoting "" high-level "" egyptian sources , egypt's state news agency , the middle east news agency ( mena ) , said parties in the search for a peace plan have gradually reached an understanding that could lead to a comprehensive reconciliation .","the state-run middle east news agency in egypt cited "" senior "" egyptian figures as saying that all parties seeking a peace plan are gradually coming to a consensus regarding the overall reconciliation .",0.4514,0.9411764705882353,0
""" an important understanding has been reached by egypt , israel , the palestinians and the significant international parties , such as the united states and the european union , agreeing in principle on a comprehensive solution to the israeli-palestinian conflict , "" mena said .","middle east news agency said , "" egypt , israel , palestine and the united states and international organizations , such as the european union , has an important understanding , agreed in principle to a comprehensive solution to the conflict between israel and palestine . """,0.7234,0.48936170212765956,1
"following the death last month of veteran palestinian leader arafat , the international community has revitalized its efforts to advance towards a final middle east peace policy in a bid to end at an early date years of bloody conflict between israel and palestine .","since the death of palestinian strongman arafat last month , the international community resumes the advancement of the middle east peace policy , hoping to end prolonged bloodshed between israel and palestine as soon as possible .",0.5008,0.8108108108108109,0
"mena said officials expect that "" preparations would take place until july , after which political action will begin "" .","the middle east news agency reported that officials expect "" the preparation work will continue until july and political action will be taken afterwards . """,0.4231,0.7692307692307693,0
"mena said it will be followed by a conference in washington attended by all parties concerned with the peace process , notably israel and palestine , as well as egypt , the united states , russia and several european countries .","middle east news agency said , the concerned parties in the middle east peace process , israel and palestine and egypt , u.s. , russia and several european countries will meet in washington .",0.5822,0.8529411764705882,1
"topics of the meeting are expected to include a "" bilateral ceasefire "" and the palestinian authority "" putting a stop to anti-israeli attacks and consolidating its control over the situation in the gaza strip and the west bank . ""","it is expected that the agenda for the meeting will include a "" ceasefire on both sides , "" and palestinian authorities will "" stop anti-israeli attacks and strengthen its control on the gaza strip and west bank . """,0.6340,0.625,0
"for this point , mena said israeli prime minister sharon has promised to "" stop israeli military operations against the palestinians insofar as they continue to respect the ceasefire deal and control their territory . ""","in regards to this , the middle east news agency reported that israeli prime minister sharon promised , "" as long as palestinian authorities honor the armistice agreement and have control over their territories , israel will stop its military action on the palestinians . """,0.4348,0.8043478260869565,0
"one billion children suffer from war , poverty and aids","over 1 billion children worldwide suffer from war , poverty , and hiv / aids",0.6000,0.4,0
"the united nations children's fund ( unicef ) pointed out today in its annual report that more than 1 billion children , half of the world's population of children , suffer from poverty , war and the scourge of aids .","an annual report published by unicef today shows that over 1 billion children , half of the world's children , suffer from poverty , war , and hiv / aids .",0.5374,0.6451612903225806,0
"unicef says the rights of children to a healthy and protected upbringing , as laid out in the 1989 convention on the rights of the child , are regularly imperiled , due in part to the failure of governments to carry out human rights and economic reforms .","unicef pointed out that the rights of children to have a healthy and protected upbringing stated clearly in the 1989 convention on the rights of the child are frequently denied , partly because of governments ' failure to implement human rights and economic reforms .",0.7068,0.4,0
"unicef executive director bellamy pointed out during the release of the report in london that "" when half the world's children are growing up hungry and unhealthy , when schools have become targets of attacks and whole villages are being emptied by aids , we ' ve failed to deliver on the promise of childhood "" .","during the launch of the annual report in london , unicef executive director bellamy pointed out , "" when half the world's children are growing up hungry and unhealthy , when schools have become targets and whole villages are being emptied by aids , we ' ve failed to deliver on the promise of childhood . """,0.9298,0.17543859649122806,0
""" too many governments are making deliberate choices that actually hurt childhood , "" bellamy added .","bellamy added , "" too many governments are making deliberate choices that actually will hurt childhood . """,0.9444,0.2222222222222222,0
unicef has joined hands with researchers from britain's london school of economics and bristol university to compile statistics which paint a terrible portrait of children at risk in most part of the world .,"data compiled jointly by researchers at unicef , the london school of economics , and bristol university reveals a gruesome picture of children in dangerous situations in most parts of the world .",0.5586,0.6060606060606061,0
"researchers have found that around 640 million children lack adequate shelter , 400 million have no access to safe water , 270 million have no access to health care services and 140 million ( mostly girls ) have never been to school in the world .","researchers discovered that about 640 million children worldwide lack proper shelter , 400 million children do not have access to safe drinking water , 270 million children do not have health care services , and 140 million children ( mostly girls ) have never attended school .",0.7021,0.44680851063829785,0
"researchers point out that even worse is that at least 700 million children suffer from various forms of "" severe deprivation "" , which also includes a lack of access to information and public sanitation facilities .","researchers noted that more serious is that at least seven million children from various forms of "" serious exploitation "" and suffering , including access to information and access to sanitation facilities .",0.5906,0.5151515151515151,1
the 10th annual unicef report released today points out that war and aids have destroyed networks that normally protect children and at times turned them into direct victims of war and aids .,"the 10th annual report released by unicef today indicates that wars and hiv / aids have destroyed all the networks that are usually able to protect children . moreover , children are often the direct victims of wars and hiv / aids .",0.5116,0.5348837209302325,0
eu resists chinese pressure to lift arms embargo,eu resists chinese pressure to lift arms embargo,1.0000,0.0,0
"the european union today rebuffed pressure for a quick end to the arms embargo on china from chinese premier wen jiabao , but said it was working towards lifting the 15 year-old ban .","the european union today rejected pressure from chinese premier wen jiabao for a quick end of the arms embargo on china . however , it also indicated that it would strive toward lifting this 15 year-old embargo .",0.6579,0.3684210526315789,0
the eu dutch presidency made the remarks following a china-eu summit .,"the netherlands , the eu rotating presidency , made the above statement after the sino-eu summit .",0.4118,0.5882352941176471,0
the netherlands says it cannot speculate how the eu will end the embargo .,the netherlands stated that how eu will end this embargo should not be wildly speculated .,0.5000,0.6875,0
the eu imposed the arms ban on beijing after the 1989 tiananmen square massacre .,the eu imposed the arms embargo on beijing after the 1989 tiananmen square massacre .,0.9333,0.06666666666666667,0
"although the arms embargo overshadowed the china-eu summit , the two sides have signed several trade and other agreements .","although the arms embargo to the chinese 丨 shadow on the eu summit , but still in the two sides signed several trade and other agreements .",0.6296,0.4074074074074074,1
"both china and the eu claim that such deals have strengthened their "" strategic partnership "" .","china and eu have claimed that they strengthened their "" strategic partnership "" .",0.6918,0.5,1
""" the eu side has confirmed its political will to continue to work towards lifting the embargo , "" said the eu in a joint statement made after the summit with chinese premier wen jiabao .","in a joint declaration released after the summit with chinese premier wen jiabao , the eu stated , "" the eu side confirmed its political will to continue to work toward lifting the embargo . """,0.8611,0.5,0
"the statement points out that the chinese delegation "" welcomes the positive signal and considers it beneficial to the sound development of the comprehensive strategic partnership between china and the eu . ""","the declaration stated that the chinese delegate "" welcomed the positive sign and considered it beneficial to the sound development of the comprehensive strategic partnership between china and the eu . """,0.7875,0.21875,0
"wen jiabao didn't hide his displeasure at a press conference following the summit . he said the ban "" does not reflect the partnership between china and the eu "" .","wen jiabao did not hide his displeasure at the press conference after the summit . he said that this embargo "" does not reflect the partnership between china and the eu . """,0.8182,0.24242424242424243,0
""" the embargo is a result of the cold war and does not reflect the present situation nor the partnership between china and the eu , "" wen jiabao said .","wen jiabao stated , "" the embargo is a product of the cold war . it neither reflects the current situation nor the partnership between china and the eu . """,0.7742,0.3548387096774194,0
"a group of eu countries led by france is pushing for the arms ban to be lifted , saying the ban is outdated .","some eu countries in the recent lifting of the arms embargo , claiming that this prohibition is outdated .",0.4045,0.8947368421052632,1
"but some in the eu worry that without a strengthened set of eu rules , a lifting of the embargo could open the floodgates to arms sales which could improve china's military strength .","without the amendment and strengthening of eu's related laws , critics worry that the lifting of the embargo could open the floodgates for arms sales and boost china's military strength .",0.5857,0.6129032258064516,0
""" i have explained that the eu is willing to lift the embargo but i also must say that this is related to adjustments of the code of conduct on arms exports , "" said dutch prime minister balkenende .","dutch prime minister , said : "" i explained the eu will lift the embargo , but i also indicated that lifting the ban and adjustment of the code of conduct for arms exports with interlocking relationship . """,0.6498,0.5641025641025641,1
preliminary research finds folic acid may be linked to breast cancer but link not confirmed,"preliminary findings : possible link of folic acid to breast cancer , but results inconclusive",0.5333,0.6666666666666666,0
"a new health study points out that folic acid , a b vitamin widely taken by pregnant women to protect against birth defects , has been linked to an increased risk of breast cancer .",a recent health study suggests that a b vitamin ( folic acid ) commonly used by pregnant women to prevent birth defects may increase the chance of breast cancer .,0.5361,0.6,0
"but the researchers say their results could merely be the result of chance , as other studies have suggested that folic acid actually reduces the risk of breast cancer , so they urge pregnant women to continue taking the supplement .","nonetheless , researchers stated that their results might be a chance finding , because other research suggests that folic acid will in fact lower the risk of breast cancer . thus , they advised pregnant women to continue taking this supplement .",0.5714,0.5476190476190477,0
"folic acid , found naturally in dark , leafy vegetables , is known to be a key aid in the growth of the fetus .","folic acid will persist in the dark and vegetables , the medical profession , which is known to the importance of embryos .",0.5580,0.6086956521739131,1
"researchers from the universities of bristol and aberdeen followed 3000 women who in the 1960 s were given supplements of either five milligrams or 0.2 milligrams of folate , or a placebo , mostly during the second and third trimesters of pregnancy .","researchers from the university of bristol and the university of aberdeen in britain followed 3000 women who had taken 5 mg or 0.2 mg dose of folic acid or a placebo , mostly during their second and third trimesters of pregnancies in the 1960 s .",0.6957,0.43478260869565216,0
"the study published in the british medical journal says that by september 2002 , breast cancer rates were twice as high for those who took the five-milligram supplement as for those who took the placebo .","this research , published in the british medical journal , showed that by september 2002 , those who had taken 5 mg doses of folic acid were twice as likely to have breast cancer as those who took only the placebo .",0.5952,0.5714285714285714,0
"one of the researchers , ness , has stressed the results were merely "" preliminary intended to point the way towards further research "" .","ness , one of the researchers , stressed that these results present "" preliminary findings that are intended to point the way toward further research . """,0.7407,0.4074074074074074,0
""" it's entirely possible that this is a chance finding , so further scientific studies are required to examine the association , if there is one , before we reach any conclusions , "" he said .","he said : "" this is potentially a fortuitous outcome , so when we reach any conclusions , it must be further scientific study to review the relevance , if this correlation exists . """,0.5667,0.7142857142857143,1
ness says women planning to become pregnant should still take folic acid supplements .,ness said that women planning to become pregnant should continue to take folic acid supplements .,0.7500,0.25,0
"he says there is a "" considerable difference between the trial "" and current dosage recommendations .","he claimed that the current recommended dosage and "" the experimental dosage are considerably different . """,0.4706,0.8235294117647058,0
"according to british health guidelines , women hoping to become pregnant and those in the first trimester of their pregnancy should take a 0.4 microgram daily supplement of folic acid c more than 10 times smaller than the doses given to women in the study .","according to the british health guidelines to the pregnant and lying-in women should be the first phase of 0.4 mg daily dose of folic acid , the study of women with small doses of more than 10 times .",0.6214,0.7692307692307693,1
two candidates in widely different mood as ukraine holds presidential re-election,ukraine was re-elected president of the two candidates from,0.2669,1.1111111111111112,1
the two rivals set to meet in ukraine's presidential re-election on the 26th this month have got ready for the runoff .,"march 26 presidential elections in ukraine will meet again in the two rivals , is now better prepared to compete .",0.3632,0.9047619047619048,1
"the pro-west opposition leader yushchenko is confident of wining the election while the pro-moscow incumbent prime minister yanukovych says he will no longer represent the "" shameful "" ruling party in the election .","the west to opposition leader confident of victory , china is in moscow , said that he would no longer represent "" a shame of the ruling party candidates .",0.4668,0.8,1
"meanwhile , russian president putin has changed his attitude towards ukraine's entry into the european union , saying he supports its entry into the eu .","meanwhile , russian president putin changed his attitude towards ukraine's entering into the european union and expressed his pleasure to see it happen .",0.5750,0.4583333333333333,0
"asked how many votes he would garner in the re-election , yushchenko told a crowded press conference , "" conservatively speaking , i should win around 60% of the votes . ""","and he looked forward to seek re-election to a vote , in particular to the press will go into said : "" conservatively speaking , i should be about 60% of the votes . """,0.5556,0.6,1
"on the other hand , yanukovych , looking anxious and upset from his appearance , directly dodged answering reporters ' questions several times , saying at last , "" for god's will , we will win . ""","on the other hand , visible in their anxiety among the several times , they are directly answered reporters ' questions , finally said : "" god wishes , we will win . """,0.5229,0.5882352941176471,1
"yanukovych , who was originally chosen as a successor of incumbent president kuchma , has changed his mind and positioned himself as a rival candidate against both the opposition and the ruling parties .","yanukovich , the original anointed successor of current president kuchma , has changed his course and cast himself as the candidate who is fighting against the opposition party and the ruling party .",0.6174,0.5454545454545454,0
""" i used to trust those cowards and traitors working with the government but i ' m very disappointed now . the government is shameful , "" he said almost directly giving the names .","he was close to mentioning names when he said , "" i used to trust those cowards and traitors who worked in the government , but now i am very disappointed . this government is very shameful . """,0.6667,0.717948717948718,0
kuchma and the opposition reached a compromise to transfer part of the presidential powers to the parliament by amending the law to end two weeks of massive opposition protests and political chaos since the presidential election on november 21st .,kuchma made a deal with the opposition party to transfer part of the presidential power to the parliament through a legislative amendment in order to end the opposition party's large-scale protest and political turmoil that has lasted for two weeks since the presidential runoff on november 21 .,0.5625,0.5833333333333334,0
yanukovych's victory in the election has been declared invalid by the supreme court by reason of massive electoral frauds and a re-election must be held .,"nujoma , who won the election process is the supreme court , the fraud was declared elected , must be re-elected .",0.3411,0.8636363636363636,1
powell visits hague in final push for eu-us harmony in his term,powell's visit to the hague in harmony to europe last,0.2456,1.0,1
